Date,Open,High,Low,Close,Adj Close,Volume,Day
2018-09-26,15.93,15.93,15.88,15.9,15.51136,3600,0
2018-09-27,15.92,15.92,15.84,15.9,15.51136,4700,1
2018-09-28,15.82,15.9,15.82,15.833,15.445997,1400,2
2018-10-01,15.92,15.95,15.838,15.866,15.478191,5000,3
2018-10-02,15.81,15.81,15.626,15.626,15.244057,8200,4
2018-10-03,15.725,15.75,15.7,15.74,15.35527,5900,5
2018-10-04,15.72,15.72,15.317,15.399,15.022607,8300,6
2018-10-05,15.36,15.49,15.143,15.31,14.935781,26500,7
2018-10-08,15.24,15.3,14.95,15.13,14.76018,241100,8
2018-10-09,15.05,15.109,14.95,14.995,14.628481,7900,9
2018-10-10,15.04,15.04,14.3,14.3,13.950468,16400,10
2018-10-11,14.24,14.281,14.02,14.177,13.830476,9300,11
2018-10-12,14.46,14.575,14.39,14.575,14.218746,17300,12
2018-10-15,14.55,14.55,14.322,14.455,14.101679,4600,13
2018-10-16,14.579,14.82,14.579,14.82,14.457758,3200,14
2018-10-17,14.96,14.96,14.74,14.86,14.496779,54800,15
2018-10-18,14.79,14.79,14.4,14.44,14.087047,700,16
2018-10-19,14.49,14.518,14.255,14.31,13.960225,3600,17
2018-10-22,14.41,14.41,14.22,14.41,14.05778,19700,18
2018-10-23,14.13,14.338,13.991,14.338,13.98754,6600,19
2018-10-24,14.2,14.252,13.53,13.53,13.199288,10700,20
2018-10-25,13.68,13.94,13.68,13.91,13.570003,16700,21
2018-10-26,13.42,13.75,13.35,13.632,13.298798,10000,22
2018-10-29,13.71,13.73,13.009,13.18,12.857844,9500,23
2018-10-30,13.18,13.47,13.18,13.465,13.135879,36600,24
2018-10-31,13.91,13.91,13.82,13.91,13.570003,2900,25
2018-11-01,13.99,14.16,13.82,14.16,13.81389,23000,26
2018-11-02,14.22,14.29,14.012,14.06,13.716334,15600,27
2018-11-05,13.988,14.039,13.95,13.991,13.649021,1200,28
2018-11-06,14.143,14.2,14.02,14.05,13.706579,6000,29
2018-11-07,14.22,14.5,14.22,14.5,14.145579,21100,30
2018-11-08,14.51,14.51,14.3,14.318,13.968028,8800,31
2018-11-09,14.25,14.25,13.97,14.1,13.755358,8100,32
2018-11-12,13.63,13.684,13.63,13.684,13.349525,5600,33
2018-11-13,13.7,13.826,13.7,13.826,13.488053,1100,34
2018-11-14,13.822,13.84,13.68,13.76,13.423667,7100,35
2018-11-15,13.76,13.988,13.64,13.988,13.646095,31900,36
2018-11-16,13.87,13.91,13.776,13.91,13.570003,33400,37
2018-11-19,13.9,13.9,13.23,13.23,12.906623,11300,38
2018-11-20,12.96,13.3,12.926,13.113,12.792482,17100,39
2018-11-21,13.39,13.42,13.349,13.38,13.052956,6100,40
2018-11-23,13.36,13.37,13.321,13.37,13.0432,1300,41
2018-11-26,13.6,13.66,13.516,13.66,13.326112,14900,42
2018-11-27,13.51,13.62,13.5,13.59,13.257824,21300,43
2018-11-28,13.87,14.12,13.71,14.07,13.726089,80300,44
2018-11-29,14,14.12,13.91,14.09,13.745604,39400,45
2018-11-30,14.1,14.23,14,14.2,13.852913,19300,46
2018-12-03,14.53,14.54,14.388,14.5,14.145579,4000,47
2018-12-04,14.39,14.39,13.91,13.91,13.570003,4200,48
2018-12-06,13.68,13.872,13.58,13.872,13.53293,2200,49
2018-12-07,13.95,14.055,13.63,13.63,13.296844,1400,50
2018-12-10,13.63,13.76,13.48,13.74,13.404157,22900,51
2018-12-11,13.92,13.95,13.705,13.86,13.521222,26400,52
2018-12-12,14.049,14.15,14.049,14.11,13.765112,7600,53
2018-12-13,14.11,14.11,13.87,13.92,13.579757,13500,54
2018-12-14,13.75,13.83,13.65,13.663,13.329039,17000,55
2018-12-17,13.55,13.57,13.15,13.19,12.867599,12200,56
2018-12-18,13.361,13.421,13.3,13.359,13.032471,2400,57
2018-12-19,13.47,13.55,13.145,13.145,12.8237,24000,58
2018-12-20,13.11,13.14,12.73,12.89,12.574934,6800,59
2018-12-21,12.911,12.911,12.55,12.565,12.257875,2100,60
2018-12-24,12.46,12.46,12.24,12.246,11.946673,3400,61
2018-12-26,12.19,12.76,12.19,12.76,12.44811,26600,62
2018-12-27,12.6,12.63,12.6,12.63,12.321287,600,63
2018-12-28,12.89,13.058,12.79,12.84,12.590954,8600,64
2018-12-31,12.999,12.999,12.85,12.86,12.610564,7800,65
2019-01-02,12.69,13.09,12.69,13.01,12.757657,8300,66
2019-01-03,12.85,12.87,12.67,12.67,12.424253,2500,67
2019-01-04,12.82,13.24,12.8,13.18,12.924359,10800,68
2019-01-07,13.25,13.5,13.2,13.43,13.169512,10700,69
2019-01-08,13.54,13.61,13.36,13.56,13.296988,9700,70
2019-01-09,13.683,13.75,13.683,13.695,13.42937,8000,71
2019-01-10,13.72,13.78,13.56,13.77,13.502914,11800,72
2019-01-11,13.71,13.81,13.66,13.79,13.522529,22600,73
2019-01-14,13.68,13.732,13.59,13.67,13.404855,11000,74
2019-01-15,13.7,13.9,13.7,13.88,13.610782,10100,75
2019-01-16,13.87,13.955,13.845,13.87,13.600975,13300,76
2019-01-17,13.77,14.04,13.76,13.97,13.699037,50500,77
2019-01-18,14.05,14.28,14.05,14.18,13.904963,15100,78
2019-01-22,14.17,14.17,13.86,13.92,13.650006,9000,79
2019-01-23,14.04,14.12,13.82,13.94,13.669617,22000,80
2019-01-24,14.07,14.094,13.96,14.08,13.806902,10800,81
2019-01-25,14.18,14.39,14.17,14.34,14.061861,14200,82
2019-01-28,14.24,14.24,14.131,14.224,13.94811,13300,83
2019-01-29,14.17,14.18,14.01,14.03,13.757874,12900,84
2019-01-30,14.11,14.413,14.105,14.36,14.081471,12800,85
2019-01-31,14.37,14.62,14.37,14.55,14.267787,13200,86
2019-02-01,14.68,14.69,14.647,14.647,14.362906,8700,87
2019-02-04,14.65,14.86,14.65,14.811,14.523724,4000,88
2019-02-05,14.89,14.99,14.88,14.989,14.698272,4600,89
2019-02-06,15.05,15.05,14.928,14.98,14.689445,3000,90
2019-02-07,14.86,14.86,14.6,14.688,14.40311,102500,91
2019-02-08,14.66,14.731,14.65,14.731,14.445276,1400,92
2019-02-11,14.85,14.87,14.821,14.87,14.58158,1200,93
2019-02-12,14.94,15.05,14.94,15.05,14.758087,10100,94
2019-02-13,15.12,15.12,15.015,15.015,14.723767,5400,95
2019-02-14,15.001,15.08,14.98,15.04,14.748282,9800,96
2019-02-15,15.09,15.12,15.071,15.083,14.790449,2100,97
2019-02-19,15.01,15.236,15.01,15.236,14.940481,2700,98
2019-02-20,15.27,15.3,15.15,15.19,14.895372,19300,99
2019-02-21,15.21,15.23,15.119,15.17,14.875761,4300,100
2019-02-22,15.325,15.368,15.3,15.317,15.019911,7900,101
2019-02-25,15.58,15.6,15.45,15.5,15.19936,67500,102
2019-02-26,15.44,15.5,15.421,15.5,15.19936,4600,103
2019-02-27,15.44,15.45,15.31,15.45,15.150331,26700,104
2019-02-28,15.38,15.44,15.362,15.4,15.101299,5900,105
2019-03-01,15.48,15.55,15.45,15.46,15.160136,7700,106
2019-03-04,15.6,15.6,15.14,15.33,15.032657,10900,107
2019-03-05,15.43,15.44,15.32,15.4,15.101299,123100,108
2019-03-06,15.39,15.39,15.27,15.27,14.973821,16700,109
2019-03-07,15.27,15.27,15.02,15.04,14.748282,17000,110
2019-03-08,14.91,14.98,14.87,14.93,14.640417,19500,111
2019-03-11,15.04,15.38,15.04,15.38,15.081686,7700,112
2019-03-12,15.48,15.48,15.35,15.4,15.101299,6400,113
2019-03-13,15.51,15.65,15.51,15.56,15.258198,19000,114
2019-03-14,15.56,15.569,15.5,15.505,15.204264,7100,115
2019-03-15,15.5,15.64,15.5,15.56,15.258198,10900,116
2019-03-18,15.65,15.67,15.47,15.55,15.24839,102500,117
2019-03-19,15.72,15.76,15.66,15.734,15.428822,37300,118
2019-03-20,15.8,15.8,15.59,15.7,15.395481,20100,119
2019-03-21,15.76,16.030001,15.76,16.030001,15.719082,18100,120
2019-03-22,16.030001,16.030001,15.67,15.67,15.366064,31100,121
2019-03-25,15.51,15.6,15.489,15.592,15.289575,18700,122
2019-03-26,15.7,15.84,15.64,15.64,15.336645,37600,123
2019-03-27,15.72,15.72,15.421,15.508,15.207206,6700,124
2019-03-28,15.505,15.573,15.474,15.52,15.218974,5600,125
2019-03-29,15.66,15.76,15.66,15.74,15.434705,53700,126
2019-04-01,15.87,16.040001,15.85,16.030001,15.719082,21900,127
2019-04-02,16.08,16.08,15.95,16.01,15.699469,14100,128
2019-04-03,16.24,16.24,16.15,16.172001,15.858329,20700,129
2019-04-04,16.26,16.26,15.91,16.02,15.709276,53600,130
2019-04-05,16.17,16.17,16.110001,16.15,15.836753,10200,131
2019-04-08,16.110001,16.219999,16.1,16.212999,15.898532,11300,132
2019-04-09,16.27,16.27,16.1,16.110001,15.797531,45500,133
2019-04-10,16.209999,16.290001,16.209999,16.24,15.925008,3700,134
2019-04-11,16.360001,16.360001,16.24,16.25,15.934812,23200,135
2019-04-12,16.379999,16.4,16.299999,16.379999,16.062292,12100,136
2019-04-15,16.440001,16.440001,16.233999,16.325001,16.00836,26200,137
2019-04-16,16.4,16.450001,16.360001,16.450001,16.130932,14600,138
2019-04-17,16.639999,16.639999,16.458,16.482,16.162313,25800,139
2019-04-18,16.559999,16.559999,16.415001,16.499001,16.178984,12900,140
2019-04-22,16.51,16.629,16.459999,16.58,16.258415,11800,141
2019-04-23,16.709999,16.93,16.700001,16.9,16.572205,10500,142
2019-04-24,16.940001,16.940001,16.799999,16.83,16.503563,7700,143
2019-04-25,16.84,16.84,16.620001,16.77,16.444729,10400,144
2019-04-26,16.67,16.722,16.540001,16.68,16.356472,15900,145
